[12:48:32,519  WARN BaseXMLWriter:96] - The URI rdf:li cannot be serialized in RDF/XML.
[10:01:29,268 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,268 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,269 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,269 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,333 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,334 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,334 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,335 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,335 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,345 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,346 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,346 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,347 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,347 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,377 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,378 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,378 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,379 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,379 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,401 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,401 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
